case_id,teacher_success,teacher_hit_round,teacher_budget_used,teacher_teacher_match_rate,teacher_termination_reason,current_success,current_hit_round,current_budget_used,current_teacher_match_rate,current_termination_reason,mixed_success,mixed_hit_round,mixed_budget_used,mixed_teacher_match_rate,mixed_termination_reason,panel,teacher_win,current_win,mixed_win,common_wins,mixed_only_wins,teacher_only_wins,current_only_wins,teacher_mixed_common_wins,teacher_current_common_wins,row_type,teacher_win_rate,current_win_rate,mixed_win_rate,mixed_better_than_current_cases,current_better_than_mixed_cases
val:scenario0:part0,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario1:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario2:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario3:part0,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario4:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario5:part0,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario6:part0,0.0,,30.0,1.0,budget_exhausted,0.0,,30.0,0.7,budget_exhausted,0.0,,30.0,1.0,budget_exhausted,val_B30,0.0,0.0,0.0,0,0,0,0,0,0,case,,,,,
val:scenario7:part0,1.0,1.0,1.0,1.0,source_hit,1.0,1.0,1.0,1.0,source_hit,1.0,1.0,1.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario8:part0,0.0,,30.0,1.0,budget_exhausted,0.0,,30.0,1.0,budget_exhausted,0.0,,30.0,1.0,budget_exhausted,val_B30,0.0,0.0,0.0,0,0,0,0,0,0,case,,,,,
val:scenario9:part0,1.0,1.0,2.0,1.0,source_hit,1.0,1.0,2.0,1.0,source_hit,1.0,1.0,2.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario10:part0,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario11:part0,1.0,6.0,18.0,1.0,source_hit,1.0,6.0,18.0,1.0,source_hit,1.0,6.0,18.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
